weight,ll,llt,prior
1.0,-8.452642426412357,0.0,-2.20211972906255
1.0,-9.69733695048004,0.0,-2.1098852820672565
1.0,-5.797596642139345,0.0,-2.762835570846108
1.0,-7.001211773015868,0.0,-2.3968635451728195
1.0,-5.622193300852471,0.0,-2.876314132231687
1.0,-6.064567410264024,0.0,-2.642961000531842
1.0,-7.498905349931199,0.0,-2.3144934010409717
1.0,-5.5286016910328915,0.0,-2.9640112535341636
1.0,-6.207305998304443,0.0,-2.5926184254993707
1.0,-6.553703490995091,0.0,-2.4937135133972483
1.0,-7.492626719281014,0.0,-2.315408043624805
1.0,-6.573694791613185,0.0,-2.488762387397521
1.0,-5.422885985814082,0.0,-3.276523844215408
1.0,-5.79154010043289,0.0,-2.7661257016650573
1.0,-5.427299982661397,0.0,-3.1542227675285552
1.0,-6.753421226754041,0.0,-2.447121665399557
1.0,-6.172936361840645,0.0,-2.604104378539935
1.0,-5.442208365702634,0.0,-3.35812105082283
1.0,-5.4890688419227445,0.0,-3.014531120732043
1.0,-5.494056057452278,0.0,-3.4695201891931022
1.0,-6.834121636839095,0.0,-2.4299285782909785
1.0,-5.419623586514147,0.0,-3.2225598967045057
1.0,-5.868252742905602,0.0,-2.7267321696046576
1.0,-5.44331479986156,0.0,-3.3613624932504464
1.0,-9.289887466966746,0.0,-2.135012651874285
1.0,-5.92281811255506,0.0,-2.7013166086013127
1.0,-5.553015283229594,0.0,-3.5564847535381183
1.0,-6.050797634817384,0.0,-2.648219139584231
1.0,-7.351219735132455,0.0,-2.336773349216588
1.0,-5.5659967870510485,0.0,-2.925129477280179
1.0,-7.942442250167164,0.0,-4.946097155369399
1.0,-8.889740773021785,0.0,-2.164192918053029
1.0,-5.733028640283888,0.0,-2.7998121847002926
1.0,-5.423226412040694,0.0,-3.2790232040111063
1.0,-6.124995484388043,0.0,-4.043092770936674
1.0,-5.752944303096028,0.0,-3.765692093703672
1.0,-6.555896652063337,0.0,-2.4931669586517344
1.0,-5.901491014743614,0.0,-2.7110230661191217
1.0,-8.933323216870557,0.0,-2.1607754460893016
1.0,-6.102763991831525,0.0,-2.628773459669376
1.0,-5.556782904918358,0.0,-3.5613793635113957
1.0,-5.506042806801928,0.0,-2.991270864958442
1.0,-5.430267472283914,0.0,-3.1415161619972833
1.0,-5.690805176637091,0.0,-2.8266411721483915
1.0,-5.832343458926303,0.0,-2.7445824075424836
1.0,-7.423125093312395,0.0,-4.722772213978734
1.0,-8.581256986638067,0.0,-2.190232592004924
1.0,-7.124704657950531,0.0,-2.3743672682877732
1.0,-6.10357252119862,0.0,-2.628479222589572
1.0,-5.7748044006114885,0.0,-2.7753977554513094
1.0,-9.54709899148764,0.0,-2.1186559089402435
1.0,-5.643105521185862,0.0,-2.8602255613946275
1.0,-6.4524281901380895,0.0,-2.519913002303894
1.0,-5.5657236924331865,0.0,-2.925391330234965
1.0,-5.479594965093048,0.0,-3.4437320877869633
1.0,-5.580086325428551,0.0,-2.9119852369876478
1.0,-6.791592436474695,0.0,-2.438882576194432
1.0,-5.734815995717918,0.0,-2.7987272825475777
1.0,-9.710833396339737,0.0,-2.1091242514779514
1.0,-7.748184071411639,0.0,-2.2803060964996122
1.0,-5.422277552115111,0.0,-3.2717177904552432
1.0,-7.569124751779679,0.0,-2.304450921214376
1.0,-5.848816264402563,0.0,-3.845759001879223
1.0,-7.814981910776154,0.0,-4.892799743917711
1.0,-8.645852957248199,0.0,-2.184499788218215
1.0,-5.513911282458057,0.0,-2.9813534914262756
1.0,-9.756916083351182,0.0,-2.1065583317110783
1.0,-8.07613266717392,0.0,-2.2409004818451312
1.0,-5.600794236125891,0.0,-2.893832980128675
1.0,-5.426642278224891,0.0,-3.2995768476671126
1.0,-8.246212251093528,0.0,-2.2226041474003457
1.0,-5.488406332743093,0.0,-3.0154996281625683
1.0,-5.480608070681795,0.0,-3.445625829603981
1.0,-5.513748526466733,0.0,-2.981553839625816
1.0,-5.453492324192572,0.0,-3.0765447571088815
1.0,-5.427667077673987,0.0,-3.3047201053241952
1.0,-5.423146508527498,0.0,-3.2784472324959966
1.0,-5.6007457936934,0.0,-2.893873986047332
1.0,-6.173766587465332,0.0,-2.60382252137061
1.0,-7.514508338039466,0.0,-2.3122324534481127
1.0,-5.664460277204048,0.0,-3.6827065245701274
1.0,-6.151204860054472,0.0,-4.060066769171232
1.0,-5.543441625202762,0.0,-2.9477877625482547
1.0,-5.505031543809511,0.0,-3.487589160328925
1.0,-5.422762070095706,0.0,-3.2755828618784397
1.0,-8.550060665760462,0.0,-2.193057193387957
1.0,-8.775304224770526,0.0,-2.173465522960468
1.0,-5.675718806509247,0.0,-2.83684603562123
1.0,-5.623057865976583,0.0,-2.8756298886904545
1.0,-5.450733679309365,0.0,-3.3814685896286063
1.0,-5.865103325007757,0.0,-2.7282597184721604
1.0,-7.91581165345929,0.0,-2.259441058787605
1.0,-10.42732287191849,0.0,-2.0744882619037806
1.0,-5.927798609453573,0.0,-2.6990893659306767
1.0,-7.659244669758996,0.0,-2.2920456177408415
1.0,-5.5103124780252735,0.0,-2.985829626822852
1.0,-5.659039755793069,0.0,-2.8485627210428364
1.0,-7.822879172987587,0.0,-2.2708120746982683
1.0,-5.4842985858823186,0.0,-3.021622530321104
1.0,-6.787632715427122,0.0,-2.439728203260981
1.0,-7.198498555815044,0.0,-4.620311073949583
1.0,-5.534216826220961,0.0,-3.5310847407429087
1.0,-5.966171976999355,0.0,-2.6823998519272774
1.0,-5.459082018584964,0.0,-3.4015456392851364
1.0,-6.786006211276574,0.0,-2.4400761554857464
1.0,-8.308688666504457,0.0,-2.2162132846007996
1.0,-6.4740971679612125,0.0,-2.514143127729735
1.0,-5.582413860150837,0.0,-2.90987920628194
1.0,-5.806611635160504,0.0,-3.811527719613868
