weight,ll,llt,prior
1.0,-37.38854247981172,-4.2263212132061785,-4.568361344171732
1.0,-35.69159087038692,-4.84866847524002,-4.129301948139734
1.0,-21.20069113271031,-2.8987983210696724,-4.805284526463611
1.0,-126.52733333279006,-3.500605886507934,-8.504572102044527
1.0,-22.43076046536053,-2.8110966504262356,-4.971358698986206
1.0,-24.843025245864652,-3.032283705132012,-4.756796054509483
1.0,-53.57255927289172,-3.7494526749655996,-5.498347848070124
1.0,-31.19605308755488,-2.7643008455164457,-5.560907182852068
1.0,-22.20846425013442,-3.1036529991522217,-4.677159565342124
1.0,-23.09943325650905,-3.2768517454975457,-4.512903362927852
1.0,-26.525657914860595,-3.746313359640507,-4.334126610168586
1.0,-22.852815394765756,-3.2868473958065927,-4.521726474951485
1.0,-24.142147107603186,-2.711442992907041,-5.59432503715302
1.0,-21.659821797137752,-2.895770050216445,-4.820938845584411
1.0,-19.385470826075405,-2.7136499913306986,-5.254211081320725
1.0,-23.554976564520906,-3.3767106133770204,-4.466303730676856
1.0,-59.08009456872082,-3.0864681809203227,-6.2171653735614685
1.0,-24.986035885069818,-2.721104182851317,-5.552193267780694
1.0,-33.78351874818795,-2.7445344209613722,-5.724243358374025
1.0,-24.239674392696575,-2.747028028726139,-5.779220278079024
1.0,-24.526676511912175,-3.4170608184195475,-4.504231067016885
1.0,-20.1794264667532,-2.7098117932570736,-5.277564500190174
1.0,-22.160536866798356,-2.934126371452801,-4.876110546223558
1.0,-20.756287729460396,-2.72165739993078,-5.524611927465455
1.0,-36.00506621066515,-4.644943733483373,-4.1992409654552425
1.0,-21.221254766179424,-2.96140905627753,-4.732454309577465
1.0,-18.717309135537786,-2.776507641614797,-5.582071438830775
1.0,-21.64887318486305,-3.025398817408692,-4.736274117674808
1.0,-26.11827094656334,-3.6756098675662274,-4.354422766089048
1.0,-18.766339603012483,-2.7829983935255242,-4.949485715281973
1.0,-30.820425761867668,-3.971221125083582,-7.112496157428948
1.0,-41.10598830173544,-4.4448703865108925,-4.61386869750163
1.0,-19.823657283788513,-2.866514320141944,-4.8190899920372905
1.0,-18.550907105036465,-2.711613206020347,-5.333979420495824
1.0,-21.922087585012513,-3.0624977421940214,-6.071888338036752
1.0,-20.59772773700989,-2.876472151548014,-5.861049766151007
1.0,-22.987083115445735,-3.2779483260316686,-4.511112093264519
1.0,-43.539085279180895,-2.950745507371807,-5.74895042327288
1.0,-89.97749185079658,-4.466661608435278,-6.552894817926496
1.0,-20.91999957197404,-3.0513819959157624,-4.65528815431618
1.0,-48.844408211844765,-2.778391452459179,-6.866438777299238
1.0,-19.62896173641232,-2.753021403400964,-5.024083240939866
1.0,-18.27270605566596,-2.715133736141957,-5.160338867644504
1.0,-19.533051455828943,-2.8454025883185454,-4.8446347581755
