weight,ll,llt,prior
1.0,-18.4367967259157,-2.715490795787261,-5.184168207947705
1.0,-18.403795462488734,-2.73273027693713,-5.446826400054744
1.0,-18.330904926030897,-2.7098764272466838,-5.2558084171000985
1.0,-18.763737202691473,-2.7147047927324683,-5.166547780107293
1.0,-18.889402687240498,-2.7290264048540416,-5.0888196873176215
1.0,-22.941275646475468,-3.3034077229802143,-4.508203355815212
1.0,-18.322458833454927,-2.7249786632090522,-5.3996192202258895
1.0,-18.296748767597357,-2.7113794402744746,-5.217544232676451
1.0,-22.825048287173182,-2.81485048429873,-4.976069804106423
1.0,-19.337401640963463,-2.7263117605563494,-5.1707281379430965
1.0,-18.248247426716112,-2.7105034750671924,-5.277988499201285
1.0,-18.689370061709997,-2.750202360321406,-5.042332008038064
1.0,-19.282685133806538,-2.7173973627499426,-5.365524784015013
1.0,-20.15406865008299,-2.774140503002177,-4.983972232079218
1.0,-20.28721127766864,-2.794681430436604,-4.94416497502856
1.0,-18.596553253143355,-2.7484776778573,-5.021169287433566
1.0,-20.18698012235873,-2.813971574034526,-5.744727340890879
1.0,-20.290288467658563,-2.776964973337697,-5.67757103956529
1.0,-18.285709667884927,-2.7170938788530847,-5.159310632591813
1.0,-18.42752110741377,-2.73377478392191,-5.452856153920432
1.0,-18.681479603479367,-2.7345049373719705,-5.4746069302449705
1.0,-18.240843497378364,-2.7153705444710687,-5.160162629152078
1.0,-18.590438311003624,-2.709806349980189,-5.242984918485211
1.0,-20.800644384814014,-2.8521586187576435,-4.933190854901092
1.0,-18.87368654316918,-2.7146215938860703,-5.384492716451447
1.0,-20.05168009027905,-2.9343729036598956,-4.76125475970396
1.0,-19.32753083696043,-2.787266472025758,-4.982304987427391
1.0,-18.83601779530954,-2.751659068329903,-5.0132990468980525
1.0,-18.2988395202508,-2.723615834474014,-5.117466861675859
1.0,-18.2988395202508,-2.723615834474014,-5.117466861675859
1.0,-18.381908479513374,-2.731851964022285,-5.085572586835336
1.0,-18.66969553807328,-2.7116987435370348,-5.196208661585963
